Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
4391-LNRXK,Male,37,No,0,Port Costa,94569,38.035707,-122.196821,0,22,Offer D,Yes,48.07,No,Yes,Fiber Optic,18,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.95,2142.8,0,0,1057.54,3200.34,Stayed,,
4391-RESHN,Male,49,No,0,Lemon Cove,93244,36.462671,-118.997291,0,23,Offer D,Yes,16.28,Yes,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.05,2470.1,0,0,374.44,2844.54,Churned,Competitor,Competitor had better devices
4393-GEADV,Male,54,Yes,3,Dulzura,91917,32.622999,-116.687855,10,70,None,Yes,39.06,Yes,Yes,Fiber Optic,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,114.75,7842.3,0,0,2734.2,10576.5,Stayed,,
4393-OBCRR,Female,60,No,0,Bella Vista,96008,40.722733,-122.109666,0,3,None,Yes,1.47,No,No,,,,,,,,,,,One Year,No,Mailed Check,20.25,71.2,0,0,4.41,75.61,Joined,,
4393-RYCRE,Male,25,No,0,Macdoel,96058,41.769709,-121.92063,0,44,None,Yes,38.33,No,Yes,Fiber Optic,41,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.05,4510.8,0,0,1686.52,6197.32,Stayed,,
4395-PZMSN,Male,67,No,0,San Gregorio,94074,37.331762,-122.341444,0,5,Offer E,Yes,18.38,No,Yes,Fiber Optic,15,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.55,408.5,0,0,91.9,500.4,Stayed,,
4396-KLSEH,Male,26,No,0,Bakersfield,93311,35.16207,-119.194488,0,4,Offer E,Yes,6.88,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,63,0,0,27.52,90.52,Stayed,,
4397-FRLTA,Female,35,No,0,Corona,92883,33.762351,-117.488725,0,4,Offer E,Yes,32.54,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.15,84.5,0,0,130.16,214.66,Stayed,,
4398-HSCJH,Female,57,No,0,Los Angeles,90013,34.044639,-118.240413,0,3,Offer E,Yes,3.64,Yes,Yes,DSL,25,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,63.6,155.65,0,0,10.92,166.57,Churned,Competitor,Competitor offered higher download speeds
4402-FTBXC,Male,55,No,0,Hopland,95449,38.93706,-123.118111,0,54,None,Yes,27.17,No,Yes,Fiber Optic,24,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,89.8,4667,0,0,1467.18,6134.18,Stayed,,
4403-BWPAY,Male,40,No,0,Los Angeles,90017,34.052842,-118.264495,0,14,None,Yes,33.5,Yes,No,,,,,,,,,,,One Year,Yes,Credit Card,24.8,321.7,0,0,469,790.7,Stayed,,
4404-HIBDJ,Female,48,No,0,San Jose,95131,37.387027,-121.897775,0,25,None,Yes,1.37,No,Yes,DSL,21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Credit Card,74.3,1863.8,0,0,34.25,1898.05,Churned,Competitor,Competitor offered more data
4412-YLTKF,Female,72,No,1,Pico Rivera,90660,33.989524,-118.089299,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0,10,89.91,2235.41,Churned,Competitor,Competitor had better devices
4415-IJZTP,Female,33,No,0,Los Angeles,90027,34.127194,-118.295647,0,1,None,Yes,13.61,Yes,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,74.5,0,0,13.61,88.11,Churned,Competitor,Competitor had better devices
4415-WNGVR,Female,73,Yes,0,Daggett,92327,34.875144,-116.821698,3,12,None,Yes,37.15,No,Yes,DSL,13,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,79.2,943.85,0,20,445.8,1409.65,Stayed,,
4418-LZMSV,Male,56,Yes,3,San Diego,92113,32.697098,-117.116587,8,13,None,Yes,28.15,No,Yes,Cable,56,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,61.8,750.1,0,0,365.95,1116.05,Stayed,,
4419-UJMUS,Male,55,Yes,1,Wildomar,92595,33.617108,-117.253349,0,69,Offer A,Yes,8.46,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.35,6856.45,0,0,583.74,7440.19,Stayed,,
4422-QVIJA,Female,52,No,1,Los Angeles,90035,34.051809,-118.383843,0,35,None,Yes,38.82,Yes,Yes,DSL,19,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,50.15,1655.35,0,130,1358.7,3144.05,Stayed,,
4423-JWZJN,Male,57,Yes,2,Springville,93265,36.245926,-118.693138,9,64,Offer B,Yes,45.35,Yes,Yes,Fiber Optic,30,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,90.25,5629.15,0,0,2902.4,8531.55,Stayed,,
4423-YLHDV,Female,22,Yes,0,Los Angeles,90059,33.927254,-118.249826,1,21,Offer D,Yes,38.52,Yes,Yes,Fiber Optic,59,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.4,2200.25,0,0,808.92,3009.17,Churned,Attitude,Attitude of support person
